DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2020,579.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EL,2021,564.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2013,5802.22,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2014,6078.73,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2015,6182.91,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2016,6317.64,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2017,6465.75,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2018,6510.59,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2019,6600.33,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2020,6636.43,p
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,ES,2021,6576.30,p
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2013,74565.58,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2014,75044.11,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2015,75661.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2016,75910.39,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2017,75175.58,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2018,73781.91,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU15,2019,72924.81,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2013,84651.28,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2014,85310.98,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2015,86024.34,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2016,86439.70,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2017,85781.91,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2018,84516.78,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU25,2019,83749.66,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2013,87259.23,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2014,87942.25,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2015,88677.79,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2016,89059.54,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2017,88345.94,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2018,87036.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2007,2019,86200.16,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2013,78019.23,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2014,78690.25,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2015,79302.79,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2016,79697.54,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2017,79009.94,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2018,77840.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2019,77161.16,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2020,76498.60,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU27_2020,2021,75655.20,p
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2013,87701.23,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2014,88383.25,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2015,89118.79,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2016,89503.54,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2017,88796.94,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2018,87450.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,EU28,2019,86620.16,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2013,903.36,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2014,907.40,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2015,903.41,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2016,887.25,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2017,874.52,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2018,859.38,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2019,840.74,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2020,835.38,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FI,2021,829.98,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2013,19095.80,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2014,19248.63,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2015,19386.52,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2016,19373.38,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2017,18953.58,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2018,18613.04,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2019,18172.97,d
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2020,17815.67,d
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,FR,2021,17330.08,p
