DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IT,2018,261.87,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IT,2019,263.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IT,2020,260.78,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2012,152.2,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2013,144.84,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2014,122.79,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2015,55.87,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2016,127.96,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2017,131.43,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2018,138.66,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2019,132.38,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2020,130.16,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LT,2021,159.30,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2012,223.4,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2013,234.1,
